t-SNE-1,t-SNE-2,index,L1,L2,L3,L4,противоион,Номер_в_статье,"IC50,μM±Dark","IC50,μM(Light)",PI,"λex,nm",Клеточная линия,"Conditions,O2%","Время, h",DOI,Unnamed: 14,Unnamed: 15
-7.007366,31.453096,162,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,2.4,,,,A549,,24,10.1016/j.jinorgbio.2019.110703,синтелли перерисовывает молекулу как говнарь,
-6.0835795,28.627007,163,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,2.8,,,,A549,,24,10.1016/j.jinorgbio.2019.110703,,
-6.0618234,28.020308,164,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,2.8,,,,A549,,24,10.1016/j.jinorgbio.2019.110703,,
-6.7403107,32.01415,165,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,,F[P-](F)(F)(F)(F)F,Ir4,16.5,,,,A549,,24,10.1016/j.jinorgbio.2019.110703,синтелли перерисовывает молекулу как говнарь,
-21.379622,-3.939589,166,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,1,4.34,,,,A549,,24,10.1016/j.jinorgbio.2019.110757,,
-22.066591,-4.024481,167,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,2,80.91,,,,A549,,24,10.1016/j.jinorgbio.2019.110757,,
-21.272633,-2.0932033,168,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,3,5.8,,,,A549,,24,10.1016/j.jinorgbio.2019.110757,,
-21.853096,-1.894978,169,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)ccn4)c3)cc2)cc1,,F[P-](F)(F)(F)(F)F,4,10.8,,,,A549,,24,10.1016/j.jinorgbio.2019.110757,,
30.239763,-31.680576,179,[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1cc2ccc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)c4ccc(c1)c2c34,,F[P-](F)(F)(F)(F)F,Ir1,200.0,,,,SGC-7901,,48,10.1016/j.jinorgbio.2021.111622,,
33.100983,-33.352047,187,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,0.3,,,,B16,,48,10.1016/j.jinorgbio.2021.111580,,
33.427456,-36.131466,188,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1cccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c1,,F[P-](F)(F)(F)(F)F,Ir2,3.7,,,,B16,,48,10.1016/j.jinorgbio.2021.111580,,
32.430687,-35.720108,189,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir3,4.6,,,,B16,,48,10.1016/j.jinorgbio.2021.111580,,
31.22224,-29.762772,205,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Brc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c2nsnc12,,F[P-](F)(F)(F)(F)F,Ir1,4.9,,,,A549,,48,10.1016/j.jinorgbio.2021.111550,,
13.489122,-12.805997,223,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1,3.2,,,,A549,,48,10.1016/j.jinorgbio.2019.110822,,
-28.623978,4.562103,238,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,OCc1ccnc(-c2cc(CO)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir1,9.05,,,,GSC-3#,,72,10.1016/j.jinorgbio.2019.110909,,
