t-SNE-1,t-SNE-2,index,L1,L2,L3,L4,противоион,Номер_в_статье,"IC50,μM±Dark","IC50,μM(Light)",PI,"λex,nm",Клеточная линия,"Conditions,O2%","Время, h",DOI,Unnamed: 14,Unnamed: 15
389.87677,-709.3726,0,[c-]1ccccc1-c1nc2ccccc2[nH]1,[c-]1ccccc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1a,21.0,"0,7 ± 0,1",30,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
448.7395,141.61177,1,Cn1c(-c2[c-]cccc2)nc2ccccc21,Cn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1b,2.57,"0,48 ± 0,02","5,3",visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
-108.14631,-378.89752,2,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1c,100.0,"0,866 ± 0,009",> 115,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
-1578.7317,1344.6506,3,[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2a,50.0,"2,64 ± 0,04",> 19,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
452.99792,172.59334,4,Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2b,3.5,"0,21 ± 0,02",17,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
-109.318,-410.7711,5,FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2c,50.0,"1,26 ± 0,04",> 40,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
397.76578,-746.995,6,[c-]1ccsc1-c1nc2ccccc2[nH]1,[c-]1ccsc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3a,2.9,"1,4 ± 0,2","2,1",visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
431.4526,106.94708,7,Cn1c(-c2[c-]ccs2)nc2ccccc21,Cn1c(-c2[c-]ccs2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3b,1.1,"0,016 ± 0,006",69,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
-137.30019,-355.60025,8,FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3c,13.0,"0,64 ± 0,09",20,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
37.003956,194.60616,26,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccccn2)nc1,,,1,9.6,,,,HeLa,,48,10.1039/c0dt00501k,,
